PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,PTS,REB,AST,STL,BLK,TOV,FGM,FGA,FG3M,FG3A,FTM,FTA,FG_PCT,FG3_PCT,FT_PCT,DD2,TD3,PLUS_MINUS
1630162,Anthony Edwards,MIN,79,35.1,25.9,5.4,5.1,1.3,0.5,3.1,9.1,19.7,2.4,6.7,5.4,6.4,0.461,0.357,0.836,9,0,5.5
1630264,Anthony Gill,WAS,50,9.3,3.8,1.9,0.7,0.3,0.2,0.5,1.5,3.2,0.2,0.8,0.6,0.7,0.469,0.244,0.806,0,0,0.1
1629717,Armoni Brooks,BKN,10,10.4,4.2,1.8,0.5,0.1,0.1,0.3,1.5,4.6,1.1,3.2,0.1,0.2,0.326,0.344,0.5,0,0,2.8
1630204,Ashton Hagans,POR,19,16.6,4.2,2.4,2.8,0.6,0.5,1.6,1.5,3.7,0.4,1.3,0.7,0.9,0.408,0.32,0.824,0,0,-0.2
1641709,Ausar Thompson,DET,63,25.1,8.8,6.4,1.9,1.1,0.9,1.3,3.7,7.6,0.3,1.8,1.1,1.9,0.483,0.186,0.597,2,0,-3.7
1630559,Austin Reaves,LAL,82,32.1,15.9,4.3,5.5,0.8,0.3,2.1,5.6,11.5,1.9,5.1,2.8,3.3,0.486,0.367,0.853,9,1,-0.5
1630245,Ayo Dosunmu,CHI,76,29.1,12.2,2.8,3.2,0.9,0.5,1.4,4.7,9.5,1.6,3.9,1.1,1.4,0.501,0.403,0.81,1,0,-2.1
1628389,Bam Adebayo,MIA,71,34.0,19.3,10.4,3.9,1.1,0.9,2.3,7.5,14.3,0.2,0.6,4.1,5.5,0.521,0.357,0.755,42,2,0.7
1641767,Ben Sheppard,IND,57,14.3,4.4,1.6,0.9,0.6,0.0,0.3,1.6,4.0,0.9,2.7,0.4,0.5,0.393,0.314,0.885,0,0,1.2
1627732,Ben Simmons,BKN,15,23.9,6.1,7.9,5.7,0.8,0.6,1.8,2.9,4.9,0.0,0.0,0.4,1.0,0.581,0.0,0.4,3,0,-2.5
1631097,Bennedict Mathurin,IND,59,26.1,14.5,4.0,2.0,0.6,0.2,1.6,5.0,11.2,1.4,3.6,3.1,3.8,0.446,0.374,0.821,3,0,-1.6
1641731,Bilal Coulibaly,WAS,63,27.2,8.4,4.1,1.7,0.9,0.8,1.4,3.0,6.9,1.0,2.9,1.5,2.1,0.435,0.346,0.702,1,0,-6.7
202687,Bismack Biyombo,OKC,40,19.8,4.4,5.2,1.3,0.3,0.9,1.0,1.8,3.3,0.0,0.0,0.6,1.4,0.565,0.0,0.481,2,0,-1.6
1631104,Blake Wesley,SAS,61,14.4,4.4,1.5,2.7,0.5,0.1,0.9,1.7,3.5,0.2,0.9,0.9,1.3,0.474,0.218,0.667,0,0,-2.4
1626246,Boban Marjanović,HOU,14,5.1,3.2,2.3,0.4,0.1,0.1,0.4,1.3,2.4,0.0,0.1,0.6,1.0,0.529,0.0,0.643,0,0,-1.4
